"Plot Title: 21744378"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21744378, SEN S/N: 21744378, LBL: chamber_right side)","End Of File (LGR S/N: 21744378)"
1,05/16/23 12:40:00 PM,24.738,
2,05/16/23 12:55:00 PM,22.621,
3,05/16/23 01:10:00 PM,21.951,
4,05/16/23 01:25:00 PM,22.142,
5,05/16/23 01:40:00 PM,21.951,
6,05/16/23 01:55:00 PM,22.046,
7,05/16/23 02:10:00 PM,21.664,
8,05/16/23 02:25:00 PM,21.760,
9,05/16/23 02:40:00 PM,21.855,
10,05/16/23 02:55:00 PM,21.855,
11,05/16/23 03:10:00 PM,22.238,
12,05/16/23 03:25:00 PM,21.855,
13,05/16/23 03:40:00 PM,21.951,
14,05/16/23 03:55:00 PM,22.046,
15,05/16/23 04:10:00 PM,22.238,
16,05/16/23 04:25:00 PM,22.046,
17,05/16/23 04:40:00 PM,21.855,
18,05/16/23 04:55:00 PM,22.046,
19,05/16/23 05:10:00 PM,22.142,
20,05/16/23 05:25:00 PM,22.238,
21,05/16/23 05:40:00 PM,22.238,
22,05/16/23 05:55:00 PM,22.142,
23,05/16/23 06:10:00 PM,22.238,
24,05/16/23 06:25:00 PM,22.238,
25,05/16/23 06:40:00 PM,22.238,
26,05/16/23 06:55:00 PM,22.238,
27,05/16/23 07:10:00 PM,22.333,
28,05/16/23 07:25:00 PM,22.333,
29,05/16/23 07:40:00 PM,22.333,
30,05/16/23 07:55:00 PM,22.333,
31,05/16/23 08:10:00 PM,22.333,
32,05/16/23 08:25:00 PM,22.333,
33,05/16/23 08:40:00 PM,22.333,
34,05/16/23 08:55:00 PM,22.333,
35,05/16/23 09:10:00 PM,22.333,
36,05/16/23 09:25:00 PM,22.333,
37,05/16/23 09:40:00 PM,22.333,
38,05/16/23 09:55:00 PM,22.429,
39,05/16/23 10:10:00 PM,22.333,
40,05/16/23 10:25:00 PM,22.333,
41,05/16/23 10:40:00 PM,22.429,
42,05/16/23 10:55:00 PM,22.333,
43,05/16/23 11:10:00 PM,22.333,
44,05/16/23 11:25:00 PM,22.333,
45,05/16/23 11:40:00 PM,22.333,
46,05/16/23 11:55:00 PM,22.333,
47,05/17/23 12:10:00 AM,22.333,
48,05/17/23 12:25:00 AM,21.282,
49,05/17/23 12:40:00 AM,21.091,
50,05/17/23 12:55:00 AM,21.282,
51,05/17/23 01:10:00 AM,21.282,
52,05/17/23 01:25:00 AM,21.187,
53,05/17/23 01:40:00 AM,21.187,
54,05/17/23 01:55:00 AM,21.187,
55,05/17/23 02:10:00 AM,21.187,
56,05/17/23 02:25:00 AM,21.187,
57,05/17/23 02:40:00 AM,21.187,
58,05/17/23 02:55:00 AM,21.187,
59,05/17/23 03:10:00 AM,21.187,
60,05/17/23 03:25:00 AM,21.187,
61,05/17/23 03:40:00 AM,21.282,
62,05/17/23 03:55:00 AM,21.187,
63,05/17/23 04:10:00 AM,21.282,
64,05/17/23 04:25:00 AM,21.282,
65,05/17/23 04:40:00 AM,21.282,
66,05/17/23 04:55:00 AM,21.282,
67,05/17/23 05:10:00 AM,21.282,
68,05/17/23 05:25:00 AM,21.282,
69,05/17/23 05:40:00 AM,21.282,
70,05/17/23 05:55:00 AM,21.282,
71,05/17/23 06:10:00 AM,21.282,
72,05/17/23 06:25:00 AM,21.282,
73,05/17/23 06:40:00 AM,21.282,
